borough,address,zonedist1,zonedist2,bldgclass,landuse,numfloors,unitsres,unitstotal,assesstot,yearbuilt,builtfar,residfar,commfar,BBL,latitude,longitude
QN,9-91 WYCKOFF AVENUE,M1-4D,,S4,4.0,3.0,4,5,410850.0,1931.0,1.79,1.5,2.0,4035510001,40.6961169,-73.9046618
QN,9-89 WYCKOFF AVENUE,M1-4D,,S4,4.0,3.0,4,5,410850.0,1931.0,2.57,1.5,2.0,4035510003,40.6961691,-73.904723
QN,10-11 WYCKOFF AVENUE,M1-4D,,G6,10.0,,0,0,47250.0,0.0,0.0,1.5,2.0,4035520005,40.6958777,-73.9041212
QN,15-39 COVERT STREET,M1-4,,E9,6.0,2.0,0,1,1693350.0,1944.0,1.1,0.0,2.0,4035390027,40.695005,-73.9043352
QN,10-05 WYCKOFF AVENUE,M1-4D,,F5,6.0,1.0,0,0,102600.0,1931.0,1.0,1.5,2.0,4035520008,40.6959546,-73.9042581
QN,10-01 WYCKOFF AVENUE,M1-4D,,S5,4.0,3.0,5,6,646650.0,1931.0,2.34,1.5,2.0,4035520011,40.6960398,-73.9044058
BK,BUSHWICK AVENUE,M1-1,,V1,11.0,,0,0,495.0,0.0,0.0,0.0,1.0,3034750100,40.6793835,-73.8999302
QN,1111 CYPRESS AVENUE,M1-4D,,B3,1.0,2.0,2,2,56400.0,1910.0,0.7,1.5,2.0,4035680013,40.6960959,-73.8993173
QN,1109 CYPRESS AVENUE,M1-4D,,S2,4.0,3.0,2,3,79680.0,1930.0,2.01,1.5,2.0,4035680014,40.6961371,-73.8993786
QN,1107 CYPRESS AVENUE,M1-4D,,S2,4.0,3.0,2,3,81300.0,1930.0,2.11,1.5,2.0,4035680016,40.6961756,-73.899429
QN,1103 CYPRESS AVENUE,M1-4D,,C3,2.0,3.0,4,4,324000.0,1931.0,1.74,1.5,2.0,4035680018,40.6962525,-73.8995371
QN,1101 CYPRESS AVENUE,M1-4D,,S2,4.0,3.0,2,3,90780.0,1931.0,1.97,1.5,2.0,4035680019,40.696291,-73.8995911
QN,1712 DECATUR STREET,M1-4D,,B2,1.0,2.0,2,2,63360.0,1915.0,0.24,1.5,2.0,4035680021,40.6963071,-73.8992052
QN,1105 CYPRESS AVENUE,M1-4D,,S2,4.0,3.0,2,3,82200.0,1930.0,2.18,1.5,2.0,4035680017,40.6962141,-73.899483
QN,1115 CYPRESS AVENUE,M1-4D,,GU,5.0,1.0,0,1,78300.0,1931.0,0.04,1.5,2.0,4035680010,40.6959668,-73.8991697
QN,57-52 MYRTLE AVENUE,C4-3A,,S2,4.0,3.0,2,3,73740.0,1931.0,2.79,3.0,3.0,4035730025,40.7003358,-73.901666
QN,18-20 CENTRE STREET,C4-3A,R6B,C2,2.0,3.0,6,6,464400.0,1931.0,1.91,3.0,3.0,4035740020,40.7000365,-73.9014717
QN,18-22 CENTRE STREET,C4-3A,,C2,2.0,3.0,6,6,464400.0,1931.0,1.89,3.0,3.0,4035740021,40.7000913,-73.9014175
QN,58-18 MYRTLE AVENUE,C4-3A,,S2,4.0,3.0,2,3,70020.0,1931.0,2.42,3.0,3.0,4035740033,40.7002994,-73.9007788
QN,58-20 MYRTLE AVENUE,C4-3A,,S2,4.0,3.0,2,3,68580.0,1931.0,1.82,3.0,3.0,4035740034,40.7002774,-73.9007031
QN,1835 GEORGE STREET,C4-3A,,C2,2.0,3.0,6,6,413100.0,1931.0,1.18,3.0,3.0,4035740039,40.7001265,-73.9008296
